City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,Eureka,US,52.41,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
342,Puqi,CN,54.03,broken clouds,29.7167,113.8833,Ramada Plaza Chibi
346,Bonavista,CA,42.8,clear sky,48.6499,-53.1147,Abbott's Bed & Breakfast
351,Hammond,US,39.4,scattered clouds,41.5834,-87.5,"Residence Inn by Marriott Chicago Southeast/Hammond, IN"
354,Khash,IR,54.55,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
357,South Lake Tahoe,US,44.65,clear sky,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
361,Skibbereen,IE,49.8,overcast clouds,51.55,-9.2667,The West Cork Hotel
371,Tuatapere,NZ,44.91,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
377,Takab,IR,42.96,scattered clouds,36.4009,47.1133,نانوایی جواد
380,Pachino,IT,55.44,overcast clouds,36.7186,15.0907,Pietra Bianca B&B
382,Shimoda,JP,42.91,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
390,Ketchikan,US,37.87,light rain,55.3422,-131.6461,Snow's Cove Lodge
398,Palestine,PS,56.62,few clouds,31.9216,35.2033,Grand Park Hotel
400,Kropotkin,RU,53.87,light rain,45.4375,40.5756,Hotel Europe Kropotkin
407,Gotsu,JP,46.24,overcast clouds,35.0,132.2167,Yurusato
411,Ube,JP,44.55,clear sky,33.9431,131.2511,"ANA Crowne Plaza Ube, an IHG Hotel"
419,Ojinaga,MX,59.95,overcast clouds,29.5667,-104.4167,Suites Las Palmas
420,Shintomi,JP,46.27,clear sky,32.0785,131.4723,ホテルスイート
421,Lata,PT,54.01,overcast clouds,40.1629,-8.3327,Casa Maquia
425,Gijon,ES,49.46,overcast clouds,43.5357,-5.6615,Miramar
426,Jining,CN,46.69,clear sky,35.405,116.5814,Yunhe Star Hotel
427,Horve,DK,37.72,overcast clouds,55.7529,11.453,Dragsholm Castle
428,Toba,JP,41.0,overcast clouds,34.4833,136.85,ホテル アルティア鳥羽
432,Xam Nua,LA,52.0,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
438,Estevan,CA,35.94,overcast clouds,49.1334,-102.9842,"Motel 6 Estevan, SK"
439,Krivodol,BG,54.81,overcast clouds,43.3744,23.4844,
441,Segovia,ES,36.79,overcast clouds,41.1667,-4.0,Complejo de turismo Rural A Toca
