City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Malyye Derbety,RU,47.9547,44.6808,43.29,89,27,7.67,scattered clouds
79,Turukhansk,RU,65.8167,87.9833,-5.6,100,97,3.24,overcast clouds
80,Codrington,AU,-38.2667,141.9667,46.08,95,4,8.05,clear sky
81,Muisne,EC,0.6,-80.0333,77.41,83,98,11.36,overcast clouds
82,Esperance,AU,-33.8667,121.9,68.29,58,100,11.92,overcast clouds
83,Deputatskiy,RU,69.3,139.9,-11.72,95,100,5.5,overcast clouds
84,Jeremie,HT,18.65,-74.1167,82.06,69,20,6.87,few clouds
85,Lagoa,PT,39.05,-27.9833,60.42,56,85,2.46,overcast clouds
86,Kapaa,US,22.0752,-159.319,71.92,78,20,5.75,few clouds
87,Tasiilaq,GL,65.6145,-37.6368,26.76,98,98,1.9,overcast clouds
88,Fuxin,CN,42.0156,121.6589,30.87,88,10,4.59,clear sky
89,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,58,3.6,broken clouds
90,Alice Springs,AU,-23.7,133.8833,56.75,77,0,0.0,clear sky
91,Baishishan,CN,43.5833,127.5667,34.11,97,90,9.98,light rain
92,Ziro,IN,27.6333,93.8333,38.39,71,0,2.73,clear sky
93,Iqaluit,CA,63.7506,-68.5145,24.53,63,90,10.36,overcast clouds
94,Plerin,FR,48.5425,-2.7798,42.28,87,75,5.75,broken clouds
95,Hamilton,US,39.1834,-84.5333,45.45,57,1,11.5,clear sky
96,Vaini,TO,-21.2,-175.2,77.16,78,20,9.22,few clouds
97,Marawi,PH,7.9986,124.2928,68.54,92,86,1.88,overcast clouds
98,Leningradskiy,RU,69.3833,178.4167,-21.23,94,62,10.83,broken clouds
99,Lompoc,US,34.6391,-120.4579,70.52,20,1,3.44,clear sky
100,Georgetown,MY,5.4112,100.3354,76.95,94,20,0.0,few clouds
101,Suvorovo,BG,43.3333,27.6,54.01,82,85,9.55,overcast clouds
102,Qaqortoq,GL,60.7167,-46.0333,36.1,97,100,6.46,moderate rain
103,Mataura,NZ,-46.1927,168.8643,41.85,88,76,1.32,broken clouds
104,Rio Gallegos,AR,-51.6226,-69.2181,71.65,9,75,39.12,broken clouds
105,Grindavik,IS,63.8424,-22.4338,43.27,100,90,14.97,mist
106,Carnarvon,AU,-24.8667,113.6333,77.07,61,2,17.27,clear sky
107,Kapit,MY,2.0167,112.9333,72.57,99,100,1.52,overcast clouds
108,Talas,TR,38.6908,35.5538,45.27,87,40,2.3,scattered clouds
109,Muzhi,RU,65.3667,64.6667,4.03,89,100,4.16,overcast clouds
110,Nikolskoye,RU,59.7035,30.7861,24.69,93,94,4.76,overcast clouds
111,Bengkulu,ID,-3.8004,102.2655,76.53,86,94,4.79,overcast clouds
112,Palembang,ID,-2.9167,104.7458,76.32,80,100,2.24,overcast clouds
113,East London,ZA,-33.0153,27.9116,67.14,82,0,8.05,clear sky
114,Chuy,UY,-33.6971,-53.4616,69.03,93,100,5.35,light rain
115,Kurumkan,RU,54.3,110.3,2.46,95,100,1.1,overcast clouds
116,Parkersburg,US,39.2667,-81.5615,46.38,70,90,5.75,overcast clouds
117,Harper,LR,4.375,-7.7169,80.31,78,44,5.12,scattered clouds
118,Solnechnyy,RU,50.7214,136.6319,12.38,95,100,2.35,overcast clouds
119,Tahta,EG,26.7693,31.5021,71.92,16,56,4.45,broken clouds
120,Ribeira Grande,PT,38.5167,-28.7,64.8,59,20,4.61,few clouds
121,Tiksi,RU,71.6872,128.8694,-11.83,98,100,6.42,overcast clouds
122,Luderitz,NA,-26.6481,15.1594,63.84,76,2,11.39,clear sky
123,Makakilo City,US,21.3469,-158.0858,71.92,79,1,4.61,clear sky
124,Sitka,US,57.0531,-135.33,33.69,80,90,20.71,snow
125,Atuona,PF,-9.8,-139.0333,78.22,73,2,19.35,clear sky
126,Kodiak,US,57.79,-152.4072,6.31,56,1,6.91,clear sky
127,Les Cayes,HT,18.2,-73.75,84.58,60,19,9.15,few clouds
128,Merauke,ID,-8.4667,140.3333,80.74,76,98,3.02,overcast clouds
129,Zhumadian,CN,32.9794,114.0294,45.14,88,0,4.43,clear sky
130,Seoul,KR,37.5683,126.9778,36.84,86,100,2.3,mist
131,Saint-Joseph,RE,-21.3667,55.6167,75.58,85,50,1.1,light rain
132,Pergamino,AR,-33.89,-60.5736,66.81,75,100,19.44,overcast clouds
133,Saskylakh,RU,71.9167,114.0833,-13.74,98,100,5.39,overcast clouds
134,Bone,DE,51.9669,12.1396,36.27,81,64,3.96,broken clouds
135,Uige,AO,-7.6087,15.0613,68.85,95,94,2.21,light rain
136,Thompson,CA,55.7435,-97.8558,5.16,85,75,3.44,broken clouds
137,Torbay,CA,47.6666,-52.7314,48.97,71,40,11.5,scattered clouds
138,Kununurra,AU,-15.7667,128.7333,76.98,83,11,2.3,few clouds
139,Peniche,PT,39.3558,-9.3811,56.68,86,79,18.9,broken clouds
140,Sungaipenuh,ID,-2.0833,101.3833,62.2,95,74,1.99,broken clouds
141,Savannah Bight,HN,16.45,-85.85,80.65,66,43,4.0,scattered clouds
142,Newport,GB,51.5877,-2.9984,41.54,85,83,14.5,broken clouds
143,Labuhan,ID,-6.8844,112.2051,76.32,90,100,3.4,light rain
144,Akhtanizovskaya,RU,45.32,37.1,57.67,89,99,27.76,overcast clouds
145,Gillette,US,44.2911,-105.5022,54.52,35,1,18.41,clear sky
146,Alofi,NU,-19.0595,-169.9187,76.89,65,91,11.5,overcast clouds
147,Karratha,AU,-20.7377,116.8463,81.88,63,3,5.3,clear sky
148,Kasaragod,IN,12.5,75.0,83.46,93,100,4.29,overcast clouds
149,Dalvik,IS,65.9702,-18.5286,26.53,95,100,5.88,snow
150,Ambanja,MG,-13.6833,48.45,76.68,89,100,0.56,moderate rain
151,Hobart,AU,-42.8794,147.3294,48.06,93,20,5.75,few clouds
152,Puerto Escondido,MX,15.85,-97.0667,86.83,66,40,5.75,scattered clouds
